movieCd,movieNm,movieNmEn,showTm,prdtYear,openDt,prdtStatNm,typeNm,nationNm,genres_1,genres_2,directorNm,directorNmEn,actor1_Nm,actor1_NmEn,watchGradeNm,dist_companyCd,dist_companyNm,dist_companyNmEn
20204089,친구엄마들:세 친구의 스와핑,SIN TOMONOHAHA 01,67.0,2017.0,20200109,개봉,장편,일본,멜로/로맨스,드라마,카와사키 군지,Gunji Kawasaki,,,청소년관람불가,20114899.0,(주)영진크리에이티브,
20191311,차일드 인 타임,The Child in Time,93.0,2017.0,20200109,개봉,장편,영국,드라마,,줄리언 파리노,Julian Farino,베네딕트 컴버배치,Benedict Cumberbatch,15세이상관람가,20122837.0,(주)팝엔터테인먼트,Pop Entertainment
20190740,어린 처형 3,,86.0,2019.0,20200109,개봉,장편,한국,멜로/로맨스,,정진호,,,,청소년관람불가,20169329.0,(주)컨텐츠 빌리지,
20204090,애인:일본 유부녀들,KYAKUTONERUTUMA,63.0,2017.0,20200109,개봉,장편,일본,멜로/로맨스,드라마,카와사키 군지,Gunji Kawasaki,,,청소년관람불가,20114899.0,(주)영진크리에이티브,
20190851,썩시드,SUCKSEED,130.0,2011.0,20200109,개봉,장편,태국,코미디,,차야놉 분프라콥,Chayanop Boonprakob,,,12세이상관람가,2019861.0,주식회사 슈아픽처스,"Choix Pictures, INC."
20193524,수상한동거,,71.0,2019.0,20200109,개봉,장편,한국,멜로/로맨스,,원명준,WON Myoung-jun,,,청소년관람불가,20130184.0,스마일컨텐츠,
20197972,리틀 큐,Little Q,106.0,2019.0,20200109,개봉,장편,홍콩,드라마,,나영창,Wing-cheong Law,임달화,Simon Yam,전체관람가,20155908.0,(주)미로스페이스,
20204060,나쁜 섹스:겁탈 당한 아내3,OKASARETEMOWASURENAI-01,63.0,2018.0,20200109,개봉,장편,일본,멜로/로맨스,드라마,하라다 칸토나,,,,청소년관람불가,20114899.0,(주)영진크리에이티브,
20204101,꼬치집:과부 여주인,KANASIMIYOKOTYOUNOONNA,60.0,2017.0,20200109,개봉,장편,일본,멜로/로맨스,드라마,카와사키 군지,Gunji Kawasaki,,,청소년관람불가,20114899.0,(주)영진크리에이티브,
20192370,디어스킨,Deerskin,76.0,2019.0,20200101,개봉,장편,프랑스,스릴러,,,,장 뒤자르댕,Jean Dujardin,청소년관람불가,20168613.0,M&M 인터내셔널,M&M International
