runTm,nation,genre,director,actor,is_adult,distributor,view,openMonth
110,1,1,김지훈,김윤태,0,코리아픽쳐스(주),425725,2
98,1,8,김태경,김하늘,0,(주)쇼박스,558807,6
109,1,5,신정원,권오중,0,(주)쇼박스,1263196,8
110,1,5,김도혁,김현주,0,(주)쇼박스,282552,12
104,1,1,김은숙,김하늘,0,(주)쇼박스,55656,1
105,1,5,장현수,김효진,1,(주)시네마서비스,542955,7
116,1,5,박헌수,류성훈,0,쇼이스트(주),568230,7
119,1,3,변혁,성현아,1,(주)쇼박스,1030668,10
100,1,5,박한준,공유,0,(주)쇼박스,30435,1
119,3,12,미야자키 하야오,바이쇼 치에코,0,(주)이수C&E,2614043,12
124,3,12,미야자키 하야오,안나 파킨,0,대원미디어(주),21592,4
175,2,1,올리버 스톤,콜린 파렐,0,(주)시네마서비스,1310651,12
110,3,1,폴 그린그래스,팀 피곳 스미스,0,(주)영화사 백두대간,53838,6
80,3,1,바흐만 고바디,로진 요우네시,0,(주)영화사 백두대간,1099,7
105,1,1,김진민,김응수,0,(주)튜브엔터테인먼트,40361,1
82,1,12,송근식,강수진,0,에이아이씨코리아(AIC KOREA),6495,7
111,2,5,제리 주커,로완 앳킨슨,0,롯데엔터테인먼트,62026,9
144,3,1,예르지 카발레로비치,파웰 데라그,0,신한영화(주),1932,12
94,3,5,까트린느 브레이야,그레고리 콜린,1,(주)영화사 백두대간,4230,9
110,3,5,프랑수아 오종,까뜨린느 드뇌브,0,무비즈엔터테인먼트(주),17951,2
120,3,1,까롤리네 링크,메랍 니니트쩨,0,(주)튜브엔터테인먼트,4590,12
75,3,12,원건도,황추생,0,(주)스폰지이엔티,3812,9
109,3,1,코토 코이치,오쿠다 에이지,1,(주)동아수출공사,1308,2
96,2,8,우인태,켈리 로랜드,1,(주)영화사한결,47430,8
92,3,1,구로사와 기요시,아사노 타다노부,0,(주)미로비젼,2242,4
124,3,1,월터 살레스,가엘 가르시아 베르날,0,UIP코리아,91382,11
100,1,1,오지명,오지명,0,영화사청어람(주),155308,12
