영화명,개봉일,관객수,누적관객수,year_month
황혼-몇살이 되어도 남자와 여자,2008-11-01,115,115,200811
AISFF2008 국제경쟁 6,,110,110,200811
히로시마 내사랑,2001-04-23,107,231,200811
AISFF2008 테마단편전:11월의  나이트메어,,106,106,200811
소리아이,2008-09-18,105,2905,200811
AISFF2008 국제경쟁 3,,104,104,200811
007 퀀텀 오브 솔러스+굿 바이+순정만화,2008-11-27,104,104,200811
"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,103,6684687,200811
죽음의 가시,2008-11-03,102,102,200811
슬리핑 뷰티,2008-10-23,101,333,200811
부에나 비스타 소셜 클럽,2001-03-01,100,5064,200811
AISFF2008 국제경쟁 7,,100,100,200811
촉루성의 7인-레드버전,2008-11-06,99,99,200811
패밀리섹션3 (2008 애니충격전),2008-11-17,99,99,200811
지난 해 마리앙바드에서,2008-10-15,98,307,200811
패밀리섹션2 (2008 애니충격전),2008-11-17,96,96,200811
브로큰 잉글리쉬,2008-07-03,96,4196,200811
테이큰,2008-04-09,94,2358493,200811
굿 바이+뱅크 잡+바디 오브 라이즈,2008-11-12,92,150,200811
임팩트섹션4 (2008 애니충격전),2008-11-17,91,91,200811
은하해방전선,2007-11-29,89,4930,200811
원스 어폰 어 타임 인 아메리카,1984-12-10,86,1534,200811
노스모킹,,86,144,200811
AISFF2008 국제경쟁 8,,86,86,200811
바디 오브 라이즈+공작부인+이글아이,2008-10-30,84,131,200811
매니아섹션2 (2008 애니충격전),2008-11-17,83,83,200811
캔디,2008-04-17,82,4704,200811
사랑 후에 남겨진 것들,2009-02-19,82,776,200811
"지금, 이대로가 좋아요",2009-04-23,82,82,200811
쥴 앤 짐,1997-01-04,82,394,200811
갓파 쿠와 여름방학을,2008-06-26,81,36274,200811
"조제, 호랑이 그리고 물고기들",2004-10-29,81,53211,200811
아가타와 끝없는 독서,2008-10-17,81,133,200811
멜로,2008-10-14,80,177,200811
쿵푸 팬더,2008-06-05,76,4653929,200811
스모킹,,76,171,200811
매니아섹션3 (2008 애니충격전),2008-11-17,75,75,200811
리얼인디무비의 발견1,,74,74,200811
매니아섹션1 (2008 애니충격전),2008-11-17,73,73,200811
생일,,73,73,200811
미스트리스,2008-07-31,72,8640,200811
추격자,2008-02-14,72,5046055,200811
Don't let it bring you down,2008-11-01,70,70,200811
매목,,70,70,200811
진흙강,2008-11-03,70,70,200811
우린 액션배우다,2008-08-28,70,10300,200811
브레이킹 더 웨이브,1996-12-07,69,69,200811
잠자는 남자,,69,69,200811
어거스트 이브닝,,69,69,200811
블루필름의 여자,2008-11-01,66,66,200811
보다 멀리 3,,66,66,200811
메종 드 히미코,2006-01-26,62,88912,200811
"색, 계",2007-11-08,61,1910607,200811
모터사이클 다이어리,2004-11-12,61,91382,200811
뮤리엘,2008-10-15,61,137,200811
브릭,2008-01-31,60,4111,200811
"AISFF2008 믹스플래닛2:봉주르 , 프랑스",,58,58,200811
애프터 미드나잇,2007-08-23,58,8389,200811
룸,2008-11-11,57,57,200811
"파괴하라, 그녀는 말한다",2008-10-17,56,80,200811
유노미,2008-11-01,56,56,200811
아주르와 아스마르,2008-02-21,55,9869,200811
나오코,2008-09-18,55,2488,200811
울학교 이티,2008-09-11,55,652178,200811
에반게리온 : 서(序),2008-01-24,53,74184,200811
스타비스키,,53,114,200811
카라멜,2008-09-04,53,2441,200811
나탈리 그랑제,2008-10-19,52,98,200811
열두 살의 기억들,,50,50,200811
빵과 장미,2002-05-24,50,166,200811
눈부신 하루,2006-02-23,50,1680,200811
거미의 계략,1996-03-30,49,117,200811
북극의 연인들,2008-12-04,49,49,200811
20세기 소년,2008-09-11,47,183069,200811
가야코를 위하여,,46,46,200811
매드 디텍티브,2008-09-18,44,4061,200811
인디아 송,,43,212,200811
스타워즈 : 클론 전쟁,2008-09-04,42,105755,200811
인생은 소설이다,2008-10-14,41,100,200811
애니충격 감독열전- 라스코 시릭 편,2008-11-28,41,41,200811
11월 단편상상극장-기억과 상실의 영화관,,40,40,200811
빅 시티,2008-09-11,40,522,200811
"여름, 속삭임",2008-10-16,39,2092,200811
AISFF2008 폐막작-국제경쟁 수상작,,38,38,200811
밤비 내리는 목소리,,38,50,200811
달려라 자전거,2008-08-07,38,3201,200811
송환,2004-03-19,37,2388,200811
내가 찍은 그녀는 최고의 슈퍼스타,2008-07-10,37,2441,200811
보다 멀리 2,,36,36,200811
어느날 그 길에서,2008-03-27,33,3383,200811
석양의 갱들,,32,613,200811
쇼킹패밀리,2008-05-08,32,587,200811
판타스틱 자살소동,2007-11-08,32,1047,200811
세자레+대서양의 남자,2008-10-18,32,61,200811
컨벤셔니어즈,,32,32,200811
청계천의 개,,31,44,200811
가벼운 잠,2008-10-23,31,148,200811
8월의 크리스마스,1998-01-24,30,575,200811
누들,2008-08-14,30,40051,200811
살아남은 자의 송가,,30,50,200811
독,2009-08-20,30,30,200811
MR. 후아유,2008-01-03,29,23626,200811
석양의 무법자,2008-07-15,29,972,200811
하늘을 걷는 소년,2008-10-23,29,100,200811
대학로에서 매춘하다가 토막살해당한 여고생 아직 대학로에 있다,2000-12-30,29,29,200811
손뼉 치고 주먹 쿵쿵,,28,42,200811
엘리트 스쿼드,,28,176,200811
오렐리아 스타이너 멜버른+밴쿠버,2008-10-17,27,48,200811
보다 깊이 2,,26,26,200811
비밀결사 매의 발톱단: 총통은 두 번 죽지 않는다,,26,33,200811
달빛 속삭임,2006-04-20,26,869,200811
보다 깊이 1,,25,25,200811
궤도,2008-07-11,24,369,200811
아스라이,2008-01-11,24,532,200811
배우 임지규를 만나다,,24,24,200811
젤리 피쉬,2008-08-14,23,4936,200811
사자굴,,23,23,200811
매미 소녀,,22,32,200811
조용한 혼돈,2009-08-27,22,230,200811
이투마마,2002-09-05,21,185,200811
에로틱 번뇌 보이,2008-03-07,21,28,200811
보다 깊이 3,,21,21,200811
타인의 삶,2007-03-22,20,44330,200811
AISFF2008 개막작,,20,20,200811
샘 페킨파 특별상영,2008-10-27,20,37,200811
아무도 모른다,2005-04-01,20,33888,200811
우리 부모가 휴가를 떠난 해,,19,39,200811
장가,2008-07-22,18,18,200811
마을에 부는 산들바람,2008-07-24,18,10972,200811
트럭,,18,69,200811
야마시타x닝하오,2008-10-24,17,17,200811
여섯 개의 시선,2003-11-14,17,48,200811
페르세폴리스,2008-05-08,16,11394,200811
3xFTM,2009-06-04,15,121,200811
황색 눈물,2007-06-14,15,42112,200811
바빌론 A.D.,2008-10-02,14,229622,200811
블랙북,2007-03-29,14,188697,200811
옛날 옛적 서부에서,2008-07-11,14,964,200811
데브라 윙거를 찾아서,2006-04-21,14,2152,200811
여기보다 어딘가에,2008-08-21,14,2538,200811
8월의 일요일들,2006-09-29,13,1545,200811
지구에서 사는 법,2009-09-24,13,13,200811
아빠의 화장실,2009-06-25,13,20,200811
그남자는 거기 없었다,2002-05-03,13,56,200811
미 앤 유 앤 에브리원,2006-01-27,13,9991,200811
"박스터, 베라 박스터",2008-10-19,12,54,200811
미안해,2005-05-05,12,1435,200811
캘커타 사막의 베니스라는 그의 이름,2008-10-18,12,56,200811
후회하지 않아,2006-11-16,12,41785,200811
3:10 투 유마,2008-02-21,11,47061,200811
"아르헨티나여, 나를 위해 울어주나요?",2008-10-16,11,149,200811
엘리펀트,2004-08-27,10,12677,200811
11월 독립애니메이션 정기상영회,,10,10,200811
오펄 드림,2008-12-24,10,20,200811
아메리칸 뉴 시네마 특별전,2007-06-22,10,3118,200811
마지막 수업,2003-04-21,9,14,200811
그녀는 예뻤다,2008-06-12,9,4201,200811
보다 멀리 1,,9,9,200811
보다 자유롭게,,9,9,200811
처음 만난 사람들,2009-06-04,8,60,200811
택시 드라이버,1989-02-17,8,8,200811
콘스탄트 가드너,2006-05-04,7,25838,200811
나의 즐거운 일기,2001-11-05,7,12,200811
치정시대1,2008-11-06,7,7,200811
"동거, 동락",2008-03-27,5,5226,200811
차별에 관한 이야기1,2008-11-06,5,5,200811
11월 실험영화 정기 상영회,2008-11-11,5,5,200811
야마시타 X 노부히로,2008-08-23,5,8,200811
보리밭을 흔드는 바람,2006-11-02,4,12724,200811
스페이스 침스:우주선을 찾아서,2008-07-17,4,269947,200811
어둠의 표적,1975-09-06,4,4,200811
굿바이 레닌,2003-10-24,4,163,200811
새로운 신,,3,55,200811
우리 학교,2007-03-29,3,34413,200811
나루토-대흥분! 초승달 섬의 애니멀 소동,2007-01-04,2,14665,200811
나의 노래는,2008-04-24,2,603,200811
도시락,2009-08-06,2,15,200811
몽상가들,2005-03-25,1,27347,200811
꿈꾸는 카메라,2006-04-21,1,2583,200811
럼블 피쉬,2008-11-24,1,1,200811
악의 손길,2008-11-24,1,1,200811
트로피컬 마닐라,2012-04-26,1,2,200811
클레르의 무릎,,0,66,200811
햇반환경사랑영화제,2008-07-21,0,188,200811
"여자, 정혜",2005-03-10,0,41943,200811
내 여자친구의 남자친구,,0,218,200811
강철중: 공공의 적 1-1,2008-06-19,0,4313101,200811
세븐 데이즈,2007-11-14,0,2048339,200811
동갑내기 과외하기,2003-02-07,0,118,200811
더 게임,2008-01-30,0,1479859,200811
해안선,2002-11-21,0,0,200811
패스트 퓨리어스 & 언리미티드,,0,0,200811
조용한 세상,2006-12-14,0,161142,200811
대살진,2008-11-17,0,0,200811
제1회 노인영화제,2008-11-18,0,0,200811
해변의 폴린느,,0,221,200811
적벽대전:거대한 전쟁의 시작,2008-07-10,0,1570703,200811
님은 먼 곳에,2008-07-24,0,1706037,200811
훔친 키스,2008-09-19,0,0,200811
이글 아이,2008-10-09,1911382,1912151,200810
맘마미아!,2008-09-03,1069148,4298929,200810
아내가 결혼했다,2008-10-23,842851,842851,200810
모던보이,2008-10-02,760501,761877,200810
고고 70,2008-10-03,572378,594320,200810
미쓰 홍당무,2008-10-16,484583,484583,200810
신기전,2008-09-04,373222,3726377,200810
바디 오브 라이즈,2008-10-23,368296,368296,200810
트럭,2008-09-25,251827,549920,200810
공작부인:세기의 스캔들,2008-10-16,233698,233698,200810
바빌론 A.D.,2008-10-02,229608,229608,200810
영화는 영화다,2008-09-11,162013,1310535,200810
헬보이 2 : 골든 아미,2008-09-25,155591,399570,200810
데스 레이스,2008-10-16,150029,150029,200810
멋진 하루,2008-09-25,147351,394098,200810
화피,2008-10-23,117532,117532,200810
하우 투 루즈 프렌즈,2008-10-16,101226,101226,200810
비몽,2008-10-09,87442,87442,200810
그 남자의 책 198쪽,2008-10-23,80982,80982,200810
더 클럽,2008-10-02,73210,73210,200810
내 친구의 사생활,2008-10-09,72289,72289,200810
미스 페티그루의 어느 특별한 하루,2008-10-02,67773,71559,200810
뱅크 잡,2008-10-30,61993,61993,200810
언더 더 쎄임 문,2008-10-16,53735,53735,200810
사과,2008-10-16,53037,53655,200810
동키호테,2008-09-25,34351,67613,200810
굿바이,2008-10-30,29605,29605,200810
구구는 고양이다,2008-10-16,27437,27437,200810
남주기 아까운 그녀,2008-10-09,23858,23858,200810
도쿄!,2008-10-23,22246,22246,200810
MR. 후아유,2008-01-03,13729,23597,200810
너를 잊지 않을 거야,2008-10-30,10914,10914,200810
지구,2008-09-04,9566,217246,200810
플라이 미 투 더 문,2008-10-30,7094,7094,200810
울학교 이티,2008-09-11,6433,652123,200810
도화선,2008-06-12,5000,37690,200810
"나는, 인어공주",2008-10-23,3926,3926,200810
텐텐,2008-09-11,3647,15362,200810
맨데이트: 신이 주신 임무,2008-10-30,3352,3352,200810
피아노의 숲,2008-10-30,3088,3088,200810
미러,2008-09-18,3066,194216,200810
인 블룸,2008-09-25,3012,25825,200810
마이 쎄시 걸,2008-10-30,2988,2988,200810
사랑과 전쟁:열두 번째 남자,2008-09-25,2703,7414,200810
케로로 더 무비:케로로 VS 케로로 천공대결전,2008-08-07,2315,170995,200810
칸 국제 광고제 페스티발 수상작,,2310,5115,200810
"여름, 속삭임",2008-10-16,2053,2053,200810
냇 지오 주니어 무비,2008-10-23,1927,1927,200810
소년은 울지 않는다,2008-11-06,1921,1921,200810
황시,2008-09-18,1789,131867,200810
"피아노, 솔로",2008-10-23,1409,1409,200810
눈에는 눈 이에는 이,2008-07-31,1100,2058616,200810
월ㆍE,2008-08-06,1089,1325834,200810
누들,2008-08-14,918,40021,200810
이스턴 프라미스,2008-12-11,830,830,200810
서양 골동 양과자점 앤티크,2008-11-13,782,782,200810
자유로운 세계,2008-09-25,742,742,200810
우주의 신비,2008-07-03,703,2914,200810
사랑 후에 남겨진 것들,2009-02-19,694,694,200810
다크 나이트,2008-08-06,689,4059837,200810
외톨이,2008-09-18,687,74615,200810
우린 액션배우다,2008-08-28,673,10230,200810
멋진하루+모던보이+고고70,,650,650,200810
추적,2008-11-20,626,626,200810
매드 디텍티브,2008-09-18,542,4017,200810
갓파 쿠와 여름방학을,2008-06-26,539,36193,200810
두 개의 눈을 가진 아일랜드,2008-09-18,534,1286,200810
아름다운 연인들,2008-10-22,485,485,200810
소년감독,2008-10-30,471,474,200810
더 걸,2008-09-11,454,2150,200810
집오리와 들오리의 코인로커,2008-08-28,450,3479,200810
로나의 침묵,2009-06-04,444,444,200810
나오코,2008-09-18,438,2433,200810
컨트롤,2008-10-30,428,428,200810
더 폴: 오디어스와 환상의 문,2008-12-04,424,424,200810
세비지 그레이스,2009-07-09,391,391,200810
해피 고 럭키,2008-11-20,383,383,200810
언노운 우먼,2009-07-01,381,381,200810
20세기 소년,2008-09-11,372,183022,200810
이글아이+공작부인+하우투 루즈 프렌즈,2008-10-16,365,365,200810
잉베를 사랑한 남자,,355,355,200810
바시르와 왈츠를,2008-11-20,352,442,200810
부에나 비스타 소셜 클럽,2001-03-01,342,4964,200810
소리아이,2008-09-18,331,2800,200810
브로크백 마운틴,2006-03-01,330,207470,200810
미션,1986-12-24,324,8297,200810
엘레지,2009-03-19,314,314,200810
생선 쿠스쿠스,,302,302,200810
모던보이+고고70+헬보이2,2008-10-02,300,300,200810
곧 돌아오겠음,,295,295,200810
콰이어트 룸에서 만나요,2008-08-28,291,3683,200810
모나코 여인,2008-10-22,288,288,200810
귀없는 토끼,2009-11-19,278,278,200810
모터사이클 다이어리,2004-11-12,271,91321,200810
2008 전북 독립 영화제,,260,260,200810
에릭 니체의 젊은 시절,2008-10-22,256,256,200810
아트 오브 크라잉,2008-10-22,243,243,200810
원스 어폰 어 타임 인 아메리카,1984-12-10,241,1448,200810
고고70+이글아이+모던보이,2008-10-09,236,236,200810
슬리핑 뷰티,2008-10-23,232,232,200810
단지 유령일 뿐,2009-03-19,223,223,200810
샤인 어 라이트,2008-08-28,219,8227,200810
지난 해 마리앙바드에서,2008-10-15,209,209,200810
조용한 혼돈,2009-08-27,208,208,200810
바디 오브 라이즈+그 남자의 책 198쪽+이글 아이,2008-10-23,195,195,200810
안녕? 허대짜수짜님!,2008-08-22,195,519,200810
이글아이+모던보이+내친구의 사생활,2008-10-09,193,193,200810
캔디,2008-04-17,188,4622,200810
달려라 루디,2008-08-28,186,3302,200810
영웅본색,1987-05-23,180,8430,200810
카모메 식당,2007-08-02,170,3602,200810
인디아 송,,169,169,200810
젤리 피쉬,2008-08-14,168,4913,200810
황색 눈물,2007-06-14,167,42097,200810
이투마마,2002-09-05,164,164,200810
우리들은 그 노래를 알고 있다,,156,252,200810
안경,2007-11-29,154,9271,200810
석양의 무법자,2008-07-15,146,943,200810
백야의 결혼식,2008-10-22,145,145,200810
"아르헨티나여, 나를 위해 울어주나요?",2008-10-16,138,138,200810
우리도 사랑한다,2009-05-28,135,135,200810
옛날 옛적 서부에서,2008-07-11,132,950,200810
허니와 클로버,2007-01-11,126,42769,200810
모드 집에서의 하룻밤,,125,125,200810
히로시마 내사랑,2001-04-23,124,124,200810
하우투 루즈 프렌즈+고고70+공작부인,2008-10-16,121,121,200810
"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,119,6684584,200810
가벼운 잠,2008-10-23,117,117,200810
유럽횡단특급,2008-10-21,117,117,200810
수면의 과학,2006-12-21,116,54862,200810
빵과 장미,2002-05-24,116,116,200810
거짓말하는 남자,,114,114,200810
사람을 찾습니다,2009-12-17,113,113,200810
세상 끝과의 조우,,102,288,200810
에덴 동산과 그 이후,2008-10-21,101,101,200810
우리들의 행복한 시간,2006-09-14,100,2472160,200810
석양의 갱들,,98,581,200810
멜로,2008-10-14,97,97,200810
키사라즈 캐츠아이-일본시리즈,,95,95,200810
스모킹,,95,95,200810
키사라즈 캐츠아이-월드시리즈,,94,94,200810
여기보다 어딘가에,2008-08-21,88,2524,200810
추방 : 허용되지 않는 지성,,82,82,200810
발렛,2008-08-21,81,3723,200810
빅 시티,2008-09-11,80,482,200810
캐쉬백,2007-05-03,79,6602,200810
비포 나잇 폴스,2002-06-21,79,595,200810
불멸의 여인,,77,77,200810
뮤리엘,2008-10-15,76,76,200810
해변의 폴린느,,76,221,200810
혐오스런 마츠코의 일생,2007-04-12,75,23144,200810
달려라 자전거,2008-08-07,72,3163,200810
하늘을 걷는 소년,2008-10-23,71,71,200810
거미의 계략,1996-03-30,68,68,200810
클레르의 무릎,,66,66,200810
카비리아,2008-10-23,66,66,200810
꽃보다 남자,2008-09-11,64,165573,200810
토니 타키타니,2005-09-22,63,11367,200810
스타비스키,,61,61,200810
방콕 데인저러스,2008-09-11,61,198159,200810
인생은 소설이다,2008-10-14,59,59,200810
굿 바이+뱅크 잡+바디 오브 라이즈,2008-11-12,58,58,200810
노스모킹,,58,58,200810
헬보이,2004-08-20,56,114745,200810
EIDF-대상수상작,2008-09-11,56,113,200810
원더풀 라이프,2001-12-09,55,55,200810
은하해방전선,2007-11-29,54,4841,200810
말할 수 없는 비밀,2008-01-10,54,99658,200810
메멘토,2001-08-24,52,52,200810
스테이션 에이전트,2006-01-27,52,3200,200810
아가타와 끝없는 독서,2008-10-17,52,52,200810
돼지코 아기공룡 임피의 모험,2008-06-26,51,30561,200810
트럭,,51,51,200810
도니 다코,2002-11-20,50,50,200810
빨간 풍선,2008-02-06,49,4922,200810
내 여자친구의 남자친구,,49,218,200810
바디 오브 라이즈+공작부인+이글아이,2008-10-30,47,47,200810
꿀벌대소동,2008-01-03,47,1238064,200810
나탈리 그랑제,2008-10-19,46,46,200810
아름다운 결혼,,45,45,200810
캘커타 사막의 베니스라는 그의 이름,2008-10-18,44,44,200810
이노센트 보이스,2008-08-28,43,381,200810
엘리트 스쿼드,,42,148,200810
라벤더의 연인들,2008-07-03,42,7278,200810
"박스터, 베라 박스터",2008-10-19,42,42,200810
레몬 트리,2008-07-10,40,4456,200810
우리 생애 최고의 순간,2008-01-10,39,4018872,200810
냉정과 열정사이,2003-10-10,39,487,200810
콘스탄트 가드너,2006-05-04,39,25831,200810
아임 낫 데어,2008-05-29,38,25616,200810
택시 투 더 다크 사이드,,37,115,200810
파이란,2001-04-28,35,137,200810
님은 먼 곳에,2008-07-24,35,1706037,200810
시간을 달리는 소녀,2007-06-14,33,58477,200810
박사가 사랑한 수식,2006-11-09,32,3160,200810
팩토리 걸,2007-05-31,32,17763,200810
10월의 단편 상상극장 : 웃음의 영화관,,32,32,200810
카라멜,2008-09-04,30,2388,200810
세자레+대서양의 남자,2008-10-18,29,29,200810
"색, 계",2007-11-08,29,1910546,200810
멋진하루+황시+헬보이2,2008-09-25,28,259,200810
찰리 바틀렛,2008-07-10,28,7115,200810
EIDF-시청자상 수상작,2008-09-11,28,58,200810
바보,2008-02-28,28,967654,200810
파리 텍사스,1987-08-29,27,82,200810
세상의 중심에서 사랑을 외치다,2004-10-08,27,315274,200810
파라노이드 파크,2007-11-22,26,8503,200810
어웨이 프롬 허,2008-03-27,25,15986,200810
"파괴하라, 그녀는 말한다",2008-10-17,24,24,200810
헬보이 2+신기전+맘마미아,2008-09-25,23,162,200810
이토록 뜨거운 순간,2007-12-20,23,10468,200810
인디애니박스:셀마의 단백질 커피,2008-06-20,22,2887,200810
붉은 경쟁,,22,70,200810
과거는 낯선 나라다,2008-03-06,22,464,200810
좋아해,2006-11-16,21,1623,200810
오렐리아 스타이너 멜버른+밴쿠버,2008-10-17,21,21,200810
애니충격감독열전-정민영,,21,21,200810
우리가 알았더라면,,20,74,200810
우리 부모가 휴가를 떠난 해,,20,20,200810
살아남은 자의 송가,,20,20,200810
아메리칸 좀비,,20,20,200810
1번가의 기적,2007-02-14,19,2535450,200810
행복,2007-10-03,18,1174495,200810
금요단편극장-2008년 영화제가 사랑한 'Short Films',,18,18,200810
무용,2008-05-22,18,1984,200810
샘 페킨파 특별상영,2008-10-27,17,17,200810
미운 오리 새끼의 모험,2008-04-03,16,109052,200810
오다기리 죠의 도쿄타워,2007-10-25,14,55600,200810
손뼉 치고 주먹 쿵쿵,,14,14,200810
아버지를 마지막으로 본 것은 언제입니까?,2010-05-27,14,14,200810
멜로디의 미소,2008-10-29,13,13,200810
청계천의 개,,13,13,200810
로스트 맨,2009-08-06,12,12,200810
밤비 내리는 목소리,,12,12,200810
귀향,2006-09-21,12,26066,200810
조난 프리타,,12,54,200810
보리밭을 흔드는 바람,2006-11-02,11,12720,200810
아웃 오브 플레이스,,11,28,200810
부에노스 아이레스 탱고 카페,2008-11-06,11,286,200810
10월 독립애니메이션 정기상영회,,10,10,200810
저스트 어바웃 러브,,10,569,200810
천국의 가장자리,,10,732,200810
매미 소녀,,10,10,200810
오펄 드림,2008-12-24,10,10,200810
화려한 휴가,2007-07-25,10,6855314,200810
향수 : 어느 살인자의 이야기,2007-03-22,9,967602,200810
기적세계+참 작은 세계+파리텍사스 모리구치,2008-10-24,9,9,200810
싸인 시커: 여섯 개의 빛을 찾아서,,9,9,200810
키즈 리턴,2000-09-28,8,8,200810
상실의 파편+왜놈에게,2008-09-20,8,27,200810
아메리칸 헌팅,2008-10-16,8,8,200810
10월 실험영화 정기상영회,,7,7,200810
아빠의 화장실,2009-06-25,7,7,200810
비밀결사 매의 발톱단: 총통은 두 번 죽지 않는다,,7,7,200810
3:10 투 유마,2008-02-21,7,47050,200810
"유, 더 리빙",,6,745,200810
미스트리스,2008-07-31,6,8568,200810
딱정벌레,,6,6,200810
반신반의,,6,14,200810
나의 장례일기,,6,21,200810
미 앤 유 앤 에브리원,2006-01-27,5,9978,200810
그림자+하리마노,2008-09-20,5,26,200810
치즈와 구더기,,5,36,200810
나의 즐거운 일기,2001-11-05,5,5,200810
접속,1997-09-13,4,41,200810
알렉산드라,2008-06-19,4,160,200810
굿바이 레닌,2003-10-24,4,159,200810
츠치모토 노리아키의 다큐멘터리와 삶,,4,21,200810
야마시타 X 노부히로,2008-08-23,3,3,200810
요코하마 메리,2008-02-07,3,537,200810
수입/수출,2008-06-19,3,237,200810
로맨스,,3,1339,200810
송환,2004-03-19,2,2351,200810
도화지,,2,6,200810
해피엔드,1999-12-11,1,27,200810
스캔들-조선남녀상열지사,2003-10-02,1,1180,200810
영매-산자와 죽은자의 화해,2003-09-05,1,15,200810
트로피컬 마닐라,2012-04-26,1,1,200810
괴물,2006-07-27,0,10917195,200810
필승必勝 Ver 2.0 연영석,2008-06-06,0,316,200810
호스텔,2007-12-06,0,713,200810
스피드 레이서,2008-05-08,0,798718,200810
어크로스 더 유니버스,2008-02-14,0,20240,200810
카니발 더 뮤지컬,,0,238,200810
트로이,2004-05-21,0,2001293,200810
콰이어트 맨,2008-11-27,0,0,200810
일본협객전,2008-10-20,0,0,200810
007 퀀텀 오브 솔러스,2008-11-05,0,0,200810
28주 후,,0,0,200810
곤 베이비 곤,,0,0,200810
블레이드 러너: 파이널 컷,1993-05-08,0,0,200810
지구에서 2천만 마일,,0,0,200810
플래툰,1987-07-04,0,0,200810
샤이닝,,0,0,200810
신기전,2008-09-04,3119838,3353155,200809
맘마미아!,2008-09-03,3082962,3229781,200809
영화는 영화다,2008-09-11,1148522,1148522,200809
울학교 이티,2008-09-11,644476,645690,200809
다크 나이트,2008-08-06,346726,4059148,200809
트럭,2008-09-25,298093,298093,200809
멋진 하루,2008-09-25,246747,246747,200809
헬보이 2 : 골든 아미,2008-09-25,243979,243979,200809
지구,2008-09-04,203251,207680,200809
방콕 데인저러스,2008-09-11,198098,198098,200809
미러,2008-09-18,191150,191150,200809
20세기 소년,2008-09-11,182650,182650,200809
꽃보다 남자,2008-09-11,163897,165509,200809
황시,2008-09-18,130078,130078,200809
스타워즈 : 클론 전쟁,2008-09-04,105713,105713,200809
월ㆍE,2008-08-06,76236,1324745,200809
외톨이,2008-09-18,73928,73928,200809
눈에는 눈 이에는 이,2008-07-31,68264,2057516,200809
고死 : 피의 중간고사,2008-08-07,52113,1634185,200809
"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,47606,6684465,200809
동키호테,2008-09-25,33262,33262,200809
미드나잇 미트 트레인,2008-08-21,33253,290334,200809
인 블룸,2008-09-25,22813,22813,200809
CJ7:장강7호,2008-08-21,22457,312576,200809
고고 70,2008-10-03,21942,21942,200809
썸머 솔스티스,2008-08-28,19991,70098,200809
다찌마와리,2008-08-14,17734,628359,200809
아기와 나,2008-08-14,15867,435940,200809
미이라 3:황제의 무덤,2008-07-30,15476,4090885,200809
스페어,2008-08-28,13000,45282,200809
텐텐,2008-09-11,11262,11715,200809
누들,2008-08-14,9207,39103,200809
우린 액션배우다,2008-08-28,6298,9557,200809
스마트 피플,2008-08-21,4846,45810,200809
사랑과 전쟁:열두 번째 남자,2008-09-25,4711,4711,200809
샤인 어 라이트,2008-08-28,4343,8008,200809
미스 페티그루의 어느 특별한 하루,2008-10-02,3786,3786,200809
슈퍼히어로,2008-08-21,3760,127905,200809
매드 디텍티브,2008-09-18,3475,3475,200809
님은 먼 곳에,2008-07-24,3430,1706002,200809
칸 국제 광고제 페스티발 수상작,,2805,2805,200809
소리아이,2008-09-18,2383,2469,200809
쉿! 그녀에겐 비밀이에요,2008-09-04,2382,2382,200809
카라멜,2008-09-04,2358,2358,200809
콰이어트 룸에서 만나요,2008-08-28,2317,3392,200809
케로로 더 무비:케로로 VS 케로로 천공대결전,2008-08-07,2285,168680,200809
나오코,2008-09-18,1995,1995,200809
집오리와 들오리의 코인로커,2008-08-28,1856,3029,200809
엑스파일:나는 믿고싶다,2008-08-13,1740,244023,200809
더 걸,2008-09-11,1696,1696,200809
모던보이,2008-10-02,1376,1376,200809
영웅본색,1987-05-23,1220,8250,200809
달려라 루디,2008-08-28,943,3116,200809
헬보이,2004-08-20,904,114689,200809
이글 아이,2008-10-09,769,769,200809
부에나 비스타 소셜 클럽,2001-03-01,765,4622,200809
두 개의 눈을 가진 아일랜드,2008-09-18,752,752,200809
여기보다 어딘가에,2008-08-21,741,2436,200809
모터사이클 다이어리,2004-11-12,733,91050,200809
천상의 길 차마고도 극장판,,728,1238,200809
사과,2008-10-16,618,618,200809
맘마미아+신기전+울학교 이티,2008-09-10,578,578,200809
우주의 신비,2008-07-03,573,2211,200809
비포 나잇 폴스,2002-06-21,516,516,200809
말할 수 없는 비밀,2008-01-10,509,99604,200809
원스,2007-09-20,498,218577,200809
라벤더의 연인들,2008-07-03,489,7236,200809
미스트리스,2008-07-31,488,8562,200809
달려라 자전거,2008-08-07,482,3091,200809
젤리 피쉬,2008-08-14,419,4745,200809
미션,1986-12-24,418,7973,200809
당신이 잠든 사이에,2008-08-14,389,67659,200809
발렛,2008-08-21,387,3642,200809
마을에 부는 산들바람,2008-07-24,382,10954,200809
아임 낫 데어,2008-05-29,352,25578,200809
20세기 소년+맘마미아+방콕 데인저러스,2008-09-10,332,332,200809
맘마미아+신기전+스타워즈:클론전쟁,2008-09-04,307,307,200809
다크나이트+맘마미아+신기전,2008-09-04,301,301,200809
크로싱,2008-06-26,245,894150,200809
멋진하루+황시+헬보이2,2008-09-25,231,231,200809
황시+맘마미아+울학교 이티,2008-09-18,228,228,200809
기가 트라이브,,228,228,200809
더티댄싱,1988-01-01,216,1944,200809
